# Scans semana 2026-W14 — inicio 2026-03-30 00:00:00 UTC
[2026-03-29 19:01:41] SCAN ETH/USDT:USDT | HORA:00:01UTC | P:1982.3200 | Slope1h:-0.0995% | VolR:0.07x | K:63.2 | D:59.3 | GapEMA7:-0.2987% | SobreEMA7:False | Cruce1h:- | Slope15m:-0.012% | Cruce15m:- | VelasCruce15m:8 | BTC:LATERAL | BLOCK:P<MA50 | P<MA200 | K>45 | P<EMA7 | PLANA | Estado:BLOQ:SLOPE_1H:-0.099% | SLOPE_15M:-0.012% | VOL_R:0.07x | ATR_1H:0.8233% | ATR_15M:0.6109% | Funding:-0.00003 | FundAlto:False | GapVWAP:-0.0565% | K15m:65.7 | D15m:66.4 | Cuerpo1H:0.336 | VelaAlc:False | OBV:-84.7219%
[2026-03-29 19:01:48] SCAN SOL/USDT:USDT | HORA:00:01UTC | P:81.3200 | Slope1h:-0.0681% | VolR:0.07x | K:63.4 | D:59.7 | GapEMA7:-0.2044% | SobreEMA7:False | Cruce1h:- | Slope15m:+0.038% | Cruce15m:- | VelasCruce15m:8 | BTC:LATERAL | BLOCK:P<MA50 | P<MA200 | K>45 | P<EMA7 | PLANA | Estado:BLOQ:SLOPE_1H:-0.068% | SLOPE_15M:+0.038% | VOL_R:0.07x | ATR_1H:0.9767% | ATR_15M:0.6645% | Funding:-0.00028 | FundAlto:False | GapVWAP:-0.0533% | K15m:75.3 | D15m:74.5 | Cuerpo1H:0.118 | VelaAlc:False | OBV:-9.2874%
[2026-03-29 19:01:50] SCAN ETH/USDT:USDT | HORA:00:01UTC | P:1983.0300 | Slope1h:-0.0905% | VolR:0.07x | K:64.2 | D:59.7 | GapEMA7:-0.2719% | SobreEMA7:False | Cruce1h:- | Slope15m:-0.009% | Cruce15m:- | VelasCruce15m:8 | BTC:LATERAL | BLOCK:P<MA50 | P<MA200 | K>45 | P<EMA7 | PLANA | Estado:BLOQ:SLOPE_1H:-0.091% | SLOPE_15M:-0.009% | VOL_R:0.07x | ATR_1H:0.8230% | ATR_15M:0.6109% | Funding:-0.00003 | FundAlto:False | GapVWAP:-0.0326% | K15m:65.9 | D15m:66.4 | Cuerpo1H:0.125 | VelaAlc:False | OBV:-84.7713%
[2026-03-29 19:01:57] SCAN SOL/USDT:USDT | HORA:00:01UTC | P:81.3000 | Slope1h:-0.0742% | VolR:0.07x | K:62.9 | D:59.5 | GapEMA7:-0.2228% | SobreEMA7:False | Cruce1h:- | Slope15m:+0.055% | Cruce15m:- | VelasCruce15m:8 | BTC:LATERAL | BLOCK:P<MA50 | P<MA200 | K>45 | P<EMA7 | PLANA | Estado:BLOQ:SLOPE_1H:-0.074% | VOL_R:0.07x | P<EMA7 | GAP_EMA7 | ATR_1H:0.9770% | ATR_15M:0.6646% | Funding:-0.00028 | FundAlto:False | GapVWAP:-0.0697% | K15m:76.5 | D15m:74.9 | Cuerpo1H:0.235 | VelaAlc:False | OBV:-9.2922%
[2026-03-29 19:02:00] SCAN ETH/USDT:USDT | HORA:00:02UTC | P:1982.5900 | Slope1h:-0.0961% | VolR:0.07x | K:63.6 | D:59.5 | GapEMA7:-0.2885% | SobreEMA7:False | Cruce1h:- | Slope15m:-0.009% | Cruce15m:- | VelasCruce15m:8 | BTC:LATERAL | BLOCK:P<MA50 | P<MA200 | K>45 | P<EMA7 | PLANA | Estado:BLOQ:SLOPE_1H:-0.096% | SLOPE_15M:-0.009% | VOL_R:0.07x | ATR_1H:0.8232% | ATR_15M:0.6110% | Funding:-0.00003 | FundAlto:False | GapVWAP:-0.0474% | K15m:65.9 | D15m:66.4 | Cuerpo1H:0.256 | VelaAlc:False | OBV:-84.8158%
[2026-03-29 19:02:07] SCAN SOL/USDT:USDT | HORA:00:02UTC | P:81.3200 | Slope1h:-0.0681% | VolR:0.07x | K:63.4 | D:59.7 | GapEMA7:-0.2044% | SobreEMA7:False | Cruce1h:- | Slope15m:+0.024% | Cruce15m:- | VelasCruce15m:8 | BTC:LATERAL | BLOCK:P<MA50 | P<MA200 | K>45 | P<EMA7 | PLANA | Estado:BLOQ:SLOPE_1H:-0.068% | SLOPE_15M:+0.024% | VOL_R:0.07x | ATR_1H:0.9767% | ATR_15M:0.6647% | Funding:-0.00028 | FundAlto:False | GapVWAP:-0.0533% | K15m:74.2 | D15m:74.1 | Cuerpo1H:0.118 | VelaAlc:False | OBV:-9.2952%
[2026-03-29 19:02:09] SCAN ETH/USDT:USDT | HORA:00:02UTC | P:1983.1200 | Slope1h:-0.0894% | VolR:0.08x | K:64.3 | D:59.7 | GapEMA7:-0.2685% | SobreEMA7:False | Cruce1h:- | Slope15m:-0.012% | Cruce15m:- | VelasCruce15m:8 | BTC:LATERAL | BLOCK:P<MA50 | P<MA200 | K>45 | P<EMA7 | PLANA | Estado:BLOQ:SLOPE_1H:-0.089% | SLOPE_15M:-0.012% | VOL_R:0.08x | ATR_1H:0.8229% | ATR_15M:0.6109% | Funding:-0.00003 | FundAlto:False | GapVWAP:-0.0296% | K15m:65.6 | D15m:66.3 | Cuerpo1H:0.098 | VelaAlc:False | OBV:-84.9437%
[2026-03-29 19:02:16] SCAN SOL/USDT:USDT | HORA:00:02UTC | P:81.3200 | Slope1h:-0.0681% | VolR:0.07x | K:63.4 | D:59.7 | GapEMA7:-0.2044% | SobreEMA7:False | Cruce1h:- | Slope15m:+0.020% | Cruce15m:- | VelasCruce15m:8 | BTC:LATERAL | BLOCK:P<MA50 | P<MA200 | K>45 | P<EMA7 | PLANA | Estado:BLOQ:SLOPE_1H:-0.068% | SLOPE_15M:+0.020% | VOL_R:0.07x | ATR_1H:0.9767% | ATR_15M:0.6657% | Funding:-0.00028 | FundAlto:False | GapVWAP:-0.0533% | K15m:73.9 | D15m:74.0 | Cuerpo1H:0.118 | VelaAlc:False | OBV:-9.3038%
[2026-03-29 19:02:18] SCAN ETH/USDT:USDT | HORA:00:02UTC | P:1982.8900 | Slope1h:-0.0923% | VolR:0.08x | K:64.0 | D:59.6 | GapEMA7:-0.2772% | SobreEMA7:False | Cruce1h:- | Slope15m:-0.012% | Cruce15m:- | VelasCruce15m:8 | BTC:LATERAL | BLOCK:P<MA50 | P<MA200 | K>45 | P<EMA7 | PLANA | Estado:BLOQ:SLOPE_1H:-0.092% | SLOPE_15M:-0.012% | VOL_R:0.08x | ATR_1H:0.8230% | ATR_15M:0.6109% | Funding:-0.00003 | FundAlto:False | GapVWAP:-0.0373% | K15m:65.6 | D15m:66.3 | Cuerpo1H:0.167 | VelaAlc:False | OBV:-84.9781%
[2026-03-29 19:02:25] SCAN SOL/USDT:USDT | HORA:00:02UTC | P:81.3200 | Slope1h:-0.0681% | VolR:0.08x | K:63.4 | D:59.7 | GapEMA7:-0.2044% | SobreEMA7:False | Cruce1h:- | Slope15m:+0.014% | Cruce15m:- | VelasCruce15m:8 | BTC:LATERAL | BLOCK:P<MA50 | P<MA200 | K>45 | P<EMA7 | PLANA | Estado:BLOQ:SLOPE_1H:-0.068% | SLOPE_15M:+0.014% | VOL_R:0.08x | ATR_1H:0.9767% | ATR_15M:0.6674% | Funding:-0.00028 | FundAlto:False | GapVWAP:-0.0533% | K15m:73.4 | D15m:73.9 | Cuerpo1H:0.118 | VelaAlc:False | OBV:-9.3123%
